      8-28 =        0
      8-29 =        0
      8-30 =        0
      8-31 =        0
      8-32 =        0
      8-33 =        0
      8-34 =        0
      8-35 =        0
      8-36 =        0
      8-37 =        0
      8-38 =        0
      8-39 =        0
      8-40 =        0
      9- 9 =   -147.6
      9-10 =    132.5
      9-11 =    194.5
      9-12 =    26.11
      9-13 =   -43.88
      9-14 =   -190.4
      9-15 =   -84.86
      9-16 =        0
      9-17 =        0
      9-18 =   -151.4
      9-19 =    63.21
      9-20 =        0
      9-21 =        0
      9-22 =    120.9
      9-23 =      168
      9-24 =    96.98
      9-25 =        0
      9-26 =        0
      9-27 =        0
      9-28 =        0
      9-29 =        0
      9-30 =        0
      9-31 =        0
      9-32 =        0
      9-33 =        0
      9-34 =        0
      9-35 =        0
      9-36 =        0
      9-37 =        0
      9-38 =        0
      9-39 =        0
      9-40 =      195
     10-10 =   -191.7
     10-11 =   -199.2
     10-12 =    197.5
     10-13 =   -135.1
     10-14 =   -199.8
     10-15 =   -170.7
     10-16 =        0
     10-17 =   -190.3
     10-18 =   -196.3
     10-19 =   -64.13
     10-20 =        0
     10-21 =        0
     10-22 =   -186.6
     10-23 =    172.4
     10-24 =        0
     10-25 =   -176.2
     10-26 =        0
     10-27 =        0
     10-28 =        0
     10-29 =        0
     10-30 =        0
     10-31 =        0
     10-32 =        0
     10-33 =        0
     10-34 =        0
     10-35 =        0
     10-36 =        0
     10-37 =        0
     10-38 =        0
     10-39 =        0
     10-40 =    169.6
     11-11 =    199.5
     11-12 =   -28.51
     11-13 =   -67.81
     11-14 =   -199.9
     11-15 =   -199.8
     11-16 =        0
     11-17 =        0
     11-18 =   -138.9
     11-19 =    69.45
     11-20 =        0
     11-21 =        0
     11-22 =   -132.2
     11-23 =     -104
     11-24 =        0
     11-25 =    169.9
     11-26 =   -49.09
     11-27 =        0
     11-28 =        0
     11-29 =        0
     11-30 =        0
     11-31 =        0
     11-32 =        0
     11-33 =        0
     11-34 =        0
     11-35 =   -166.8
     11-36 =        0
     11-37 =        0
     11-38 =        0
     11-39 =        0
     11-40 =    196.8
     12-12 =    189.4
     12-13 =     -176
     12-14 =     -200
     12-15 =   -193.9
     12-16 =        0
     12-17 =        0
     12-18 =    78.65
     12-19 =    123.2
     12-20 =        0
     12-21 =        0
     12-22 =   -187.5
     12-23 =      165
     12-24 =    197.1
     12-25 =   -198.1
     12-26 =    173.2
     12-27 =        0
     12-28 =        0
     12-29 =        0
     12-30 =        0
     12-31 =        0
     12-32 =        0
     12-33 =        0
     12-34 =        0
     12-35 =        0
     12-36 =    87.92
     12-37 =        0
     12-38 =        0
     12-39 =        0
     12-40 =    83.75
     13-13 =    190.4
     13-14 =    83.02
     13-15 =    51.29
     13-16 =        0
     13-17 =    75.27
     13-18 =    194.9
     13-19 =    191.7
     13-20 =        0
     13-21 =        0
     13-22 =   -167.2
     13-23 =   -66.91
     13-24 =   -10.92
     13-25 =    144.8
     13-26 =    193.6
     13-27 =        0
     13-28 =   -93.21
     13-29 =        0
     13-30 =        0
     13-31 =        0
     13-32 =        0
     13-33 =        0
     13-34 =        0
     13-35 =   -181.3
     13-36 =        0
     13-37 =        0
     13-38 =        0
     13-39 =        0
     13-40 =    115.6
     14-14 =    133.3
     14-15 =   -198.5
     14-16 =        0
